"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"simazine","ecxwb2",0.0202142774191999,"mu","identity","beta",-0.279985625,-0.3922320865,-0.126757378
"simazine","ecxwb2",0.0202142774191999,"mu","identity","ec50",66.5600401866456,56.9587924875194,75.348127963829
"simazine","ecxwb1p3",0.0173707251575728,"mu","identity","top",0.687462175,0.67338886625,0.70164775875
"simazine","ecxwb1p3",0.0173707251575728,"mu","identity","beta",-0.246878275,-0.33584636275,-0.16115084225
"simazine","ecxwb1p3",0.0173707251575728,"mu","identity","ec50",215.194463344038,200.296971454851,231.346879607075
"simazine","nec3param",0.000656173509836802,"mu","identity","top",0.66086479,0.649047465,0.6729360365
"simazine","nec3param",0.000656173509836802,"mu","identity","beta",-0.871725805,-0.96072521725,-0.7884450895
"simazine","nec3param",0.000656173509836802,"mu","identity","nec",20.8739861104934,18.3633157491123,23.348414504499
"simazine","nec4param",0.000330589351310201,"mu","identity","top",0.660861375,0.6486497585,0.6730952235
"simazine","nec4param",0.000330589351310201,"mu","identity","bot",0.0323009405,0.0048397656175,0.08871650335
"simazine","nec4param",0.000330589351310201,"mu","identity","beta",-0.77867963,-0.90409310225,-0.587667213
"simazine","nec4param",0.000330589351310201,"mu","identity","nec",21.1518749145232,18.6409359288799,23.6581359511681
"simazine","ecxexp",1.48468035663139e-36,"mu","identity","top",0.61136474,0.57798658,0.64503956175
"simazine","ecxexp",1.48468035663139e-36,"mu","identity","beta",-2.50717545,-2.747446775,-2.31819001
"tebuthiuron","ecxwb2p3",0.676140274394553,"mu","identity","top",0.697850905,0.69155988725,0.704087023
"tebuthiuron","ecxwb2p3",0.676140274394553,"mu","identity","beta",-0.114529665,-0.15740081,-0.071907588025
"tebuthiuron","ecxwb2p3",0.676140274394553,"mu","identity","ec50",60.3192717188306,56.9444513533729,63.7387713295021
"tebuthiuron","ecxwb2",0.298261277435932,"mu","identity","top",0.69722947,0.6908073095,0.70343644925
"tebuthiuron","ecxwb2",0.298261277435932,"mu","identity","bot",0.0111701785,0.002154201045,0.02524600585
"tebuthiuron","ecxwb2",0.298261277435932,"mu","identity","beta",-0.0629196975,-0.1249196505,0.011484939025
"tebuthiuron","ecxwb2",0.298261277435932,"mu","identity","ec50",59.2114982398366,55.7957877118026,62.6716410932065
"tebuthiuron","nec3param",0.0140797831348276,"mu","identity","top",0.695780105,0.68872415275,0.70288181525
"tebuthiuron","nec3param",0.0140797831348276,"mu","identity","beta",-0.480490385,-0.520628257,-0.44258821
"tebuthiuron","nec3param",0.0140797831348276,"mu","identity","nec",24.2870564000637,23.0708816445224,25.5139717149712
"tebuthiuron","ecxll4",0.00451919989327505,"mu","identity","top",0.70488897,0.697659192,0.712121646
"tebuthiuron","ecxll4",0.00451919989327505,"mu","identity","bot",0.036167345,0.02372819685,0.04839804435
"tebuthiuron","ecxll4",0.00451919989327505,"mu","identity","beta",0.32672324,0.24755813875,0.41031138525
"tebuthiuron","ecxll4",0.00451919989327505,"mu","identity","ec50",87.7264105028488,82.0757993421094,93.7421645221809
"tebuthiuron","ecx4param",0.00414058691539548,"mu","identity","top",0.704864775,0.69757237425,0.712292846
"tebuthiuron","ecx4param",0.00414058691539548,"mu","identity","bot",0.0362566605,0.0234929833,0.048517862275
"tebuthiuron","ecx4param",0.00414058691539548,"mu","identity","beta",0.32797405,0.2470142135,0.41006953925
"tebuthiuron","ecx4param",0.00414058691539548,"mu","identity","ec50",87.6601231647307,82.0517967068217,93.8254414473365
"tebuthiuron","nec4param",0.00283924910417365,"mu","identity","top",0.695801015,0.68845252625,0.70289993575
"tebuthiuron","nec4param",0.00283924910417365,"mu","identity","bot",0.0038601896,0.00056177065325,0.0120141198
"tebuthiuron","nec4param",0.00283924910417365,"mu","identity","beta",-0.462911625,-0.5078325735,-0.41325751225
"tebuthiuron","nec4param",0.00283924910417365,"mu","identity","nec",24.3768046240465,23.1330367929461,25.5770835052771
"tebuthiuron","ecxll3",1.96287589505345e-05,"mu","identity","top",0.70989779,0.70151386725,0.71822763625
"tebuthiuron","ecxll3",1.96287589505345e-05,"mu","identity","beta",0.148230705,0.0989418329,0.1970230505
"tebuthiuron","ecxll3",1.96287589505345e-05,"mu","identity","ec50",98.7051723669666,92.8424019036334,104.990881133466
"tebuthiuron","ecxwb1",3.62892218200192e-10,"mu","identity","top",0.71329022,0.7039191155,0.72286761425
"tebuthiuron","ecxwb1",3.62892218200192e-10,"mu","identity","bot",0.05762699,0.048239768475,0.067540089125
"tebuthiuron","ecxwb1",3.62892218200192e-10,"mu","identity","beta",-0.076528197,-0.152749198,-0.000475813805750002
"tebuthiuron","ecxwb1",3.62892218200192e-10,"mu","identity","ec50",133.374538573785,123.615476306577,143.885114125303
"tebuthiuron","ecxwb1p3",2.109259152477e-23,"mu","identity","top",0.73019477,0.71631875575,0.744517145
"tebuthiuron","ecxwb1p3",2.109259152477e-23,"mu","identity","beta",-0.41452129,-0.4867213085,-0.346547461
"tebuthiuron","ecxwb1p3",2.109259152477e-23,"mu","identity","ec50",185.850697553647,170.310815216186,203.591622632809
"tebuthiuron","ecxexp",1.13353741509037e-78,"mu","identity","top",0.60420427,0.571521447,0.63551673125
"tebuthiuron","ecxexp",1.13353741509037e-78,"mu","identity","beta",-2.0988422,-2.2640400225,-1.9587653125
