"fit","x","Estimate","Q2.5","Q97.5"
"no group term",3.61977297297297,276.079893561442,192.01084793622,405.148021082232
"no group term",3.63002162162162,276.05805123928,191.979797476577,405.11175814591
"no group term",3.64027027027027,276.036491331708,191.949138709056,405.075944039598
"no group term",3.65051891891892,276.015209407428,191.9188896561,405.040571967627
"no group term",3.66076756756757,275.994201116837,191.889128571493,405.0056352559
"no group term",3.67101621621622,275.973462190303,191.859739879146,404.971127349375
"no group term",3.68126486486486,275.95298843647,191.832568420618,404.937041809628
"no group term",3.69151351351351,275.917135368603,191.812492037117,404.903372312454
"no group term",3.70176216216216,275.881794427824,191.792671830936,404.870112645533
"no group term",3.71201081081081,275.863143348392,191.773103837406,404.837256706149
"no group term",3.72225945945946,275.844729645989,191.753802977397,404.80479849896
"no group term",3.73250810810811,275.826549657966,191.734821633144,404.772732133821
"no group term",3.74275675675676,275.807441080015,191.716079967969,404.741051823654
"no group term",3.7530054054054,275.781868098576,191.697574311479,404.709751882371
"no group term",3.76325405405405,275.754867633531,191.679301059298,404.678826722842
"no group term",3.7735027027027,275.72366980611,191.661256671702,404.648270854907
"no group term",3.78375135135135,275.685787448271,191.643437672288,404.618078883441
"no group term",3.794,275.653415648232,191.625840646674,404.588245506452
"no group term",3.80424864864865,275.632037011041,191.608462241228,404.558765513229
"no group term",3.8144972972973,275.606729346321,191.591299161832,404.529633782534
"no group term",3.82474594594595,275.577128431573,191.574348172663,404.500845280824
"no group term",3.83499459459459,275.545951187641,191.557606095013,404.472395060526
"no group term",3.84524324324324,275.522448649991,191.541069806131,404.44808474353
"no group term",3.85549189189189,275.501302215136,191.524736238091,404.43359248707
"no group term",3.86574054054054,275.480408479505,191.508602376692,404.419278849749
"no group term",3.87598918918919,275.45906933226,191.492665260372,404.405141165237
"no group term",3.88623783783784,275.434182253713,191.476921979154,404.39117681391
"no group term",3.89648648648649,275.408305677013,191.461369673619,404.377383221909
"no group term",3.90673513513513,275.380836340057,191.446005533893,404.363757860221
"no group term",3.91698378378378,275.353682380489,191.430826798664,404.350252653933
"no group term",3.92723243243243,275.326839366034,191.415830754217,404.33620473544
"no group term",3.93748108108108,275.304640964702,191.401014733494,404.32232549596
"no group term",3.94772972972973,275.280647372372,191.386376115173,404.30861247748
"no group term",3.95797837837838,275.255310695368,191.371912322765,404.295063264071
"no group term",3.96822702702703,275.230262176997,191.357620823738,404.281675481059
"no group term",3.97847567567567,275.207645899136,191.343499128652,404.268446794221
"no group term",3.98872432432432,275.189425476474,191.32954479032,404.255374908992
"no group term",3.99897297297297,275.173822399525,191.315755402985,404.24245756969
"no group term",4.00922162162162,275.154816935348,191.302128601513,404.229692558761
"no group term",4.01947027027027,275.135204502461,191.288662060607,404.19997116086
"no group term",4.02971891891892,275.1158141121,191.275353494035,404.159943420985
"no group term",4.03996756756757,275.096642695223,191.262200653878,404.120342069279
"no group term",4.05021621621622,275.077687232843,191.249201329794,404.081161498924
"no group term",4.06046486486486,275.061635083467,191.236353348294,404.042396190758
"no group term",4.07071351351351,275.046399559542,191.223654572039,404.004040711692
"no group term",4.08096216216216,275.026522873482,191.21110289915,403.96608971315
"no group term",4.09121081081081,275.006865822021,191.198696262529,403.928537929551
"no group term",4.10145945945946,274.99527910329,191.18362764484,403.891380176817
"no group term",4.11170810810811,274.984115145908,191.165116759822,403.854611350908
"no group term",4.12195675675676,274.97307820733,191.146808998506,403.818226426397
