"model","value"
"X30",-0.678260693594995
"X30",-0.559362072458251
"X30",-1.0854679279682
"X30",-0.838681695881112
"X30",-0.93300359164682
"X30",-0.507341756477058
"X30",-1.15468244737675
"X30",-0.734302144734737
"X30",-0.647726280320492
"X30",-0.853132063822828
"X30",-0.551180927643345
"X30",-0.630981971513315
"X30",0.196122329707048
"X30",-0.166741622079394
"X30",-1.57714353468658
"X30",-1.09324619157279
"X30",-0.894545695531343
"X30",-0.512437414143409
"X30",-0.586393999187873
"X30",-1.83258146374831
"X30",-0.813413744382762
"X30",-1.07401956884211
"X30",-1.45313141742159
"X30",-1.83258146374831
"X30",-0.598646275320236
"X30",-1.30610119224866
"X30",-0.832371343582305
"X30",-0.957340293085781
"X30",-0.47270700557767
"X30",-0.23106788378492
"X30",-0.233714392772762
"X30",-1.68012871637833
"X30",-1.04072107345153
"X30",-0.862565041918818
"X30",-1.2741046838735
"X30",-0.983878776291547
"X30",-0.672154594323384
"X30",-1.00481195576224
"X30",-0.459850163877355
"X30",-0.740176096043381
"X30",-0.875128546028919
"X30",-0.696019263131418
"X30",-0.353453698847024
"X30",-0.829196307334292
"X30",-1.44150458143741
"X30",-0.648294260156717
"X30",-0.590493052434295
"X30",-0.451459511779493
"X30",-0.713717186497408
"X30",-0.812061241372161
"X30",-1.03551215639409
"X30",-0.686626284335542
"X30",-0.0257974018910401
"X30",-0.137286317229531
"X30",-0.714498656509898
"X30",-0.507443453868712
"X30",-0.618750835690505
"X30",-0.755319070853586
"X30",-0.598240418936576
"X30",-0.635587337218346
"X30",-0.3569079718618
"X30",-0.887971609360262
"X30",-1.0691108422284
"X30",-0.799324464809692
"X30",-0.661982323709521
"X30",-0.671102405473627
"X30",-0.919573422022279
"X30",-0.399578109886219
"X30",-0.611120130502542
"X30",-0.65523957907794
"X30",-0.518841974036777
"X30",-0.557467393022867
"X30",-0.351054871331902
"X30",-0.34942277964802
"X30",-0.195864495253374
"X30",-0.698922280343641
"X30",-1.14538914994412
"X30",-0.5698486219836
"X30",-1.19082512696398
"X30",-0.365828161403313
"X30",-1.50659438349202
"X30",-0.340103137604179
"X30",-0.419613916917523
"X30",-1.29754888213644
"X30",-0.394225077423359
"X30",-1.52568578364763
"X30",-0.261859939301826
"X30",-1.03175777776791
"X30",-0.586931127148339
"X30",-0.850042539687694
"X30",-0.305227772630204
"X30",-0.666683678690907
"X30",-0.67926587945165
"X30",-1.12706080752303
"X30",-0.517142592863769
"X30",-0.408755968811519
"X30",-0.845110493539837
"X30",-1.16930838261254
"X30",-0.209229110547981
"X30",-0.799405345772457
"X30",-0.191476488215207
"X30",-0.848175878979931
"X30",-0.493837248796799
"X30",-1.19923623627018
"X30",-0.749011852056322
"X30",-0.214287606079637
"X30",-0.783723821769351
"X30",-0.584068917595315
"X30",-1.08699190762323
"X30",-1.2132660196833
"X30",-0.389617559457196
"X30",-1.20394869945181
"X30",-0.786953787026914
"X30",-0.675878870322897
"X30",-0.781129191302084
"X30",-0.565559507641897
"X30",-0.619354935956102
"X30",-0.506490138922291
"X30",-0.701760659875237
"X30",-1.02754709847402
"X30",-0.911549823337226
"X30",-1.23556507012863
"X30",-0.803006967519408
"X30",-0.651367121443291
"X30",-0.937488491510886
"X30",-0.601115959486358
"X30",-0.3897507689457
"X30",-0.892298725110284
"X30",-0.754846260450184
"X30",0.257312403684958
"X30",-0.604026798342088
"X30",-0.471117779446626
"X30",1.07467218605845
"X30",-0.500571430374461
"X30",-0.949142063539348
"X30",-1.83258146374831
"X30",-0.314551971574544
"X30",-0.835174537643768
"X30",-0.278146683789728
"X30",-0.774447144252407
"X30",-0.770381176765981
"X30",-0.804449624079866
"X30",-0.840789976556913
"X30",-0.575590044467572
"X30",-1.05285245427674
"X30",-0.81157347692125
"X30",-0.962086902893406
"X30",-0.736859347716839
"X30",-0.700462100458881
"X30",-0.806022648639112
"X30",-0.366554622432742
"X30",-0.297990541713683
"X30",-0.438999818284866
"X30",-1.08460228151837
"X30",-0.646948038479956
"X30",-0.48230436822172
"X30",-0.62303428721779
"X30",-0.776533348953748
"X30",-1.55841912737898
"X30",-1.83258146374831
"X30",-0.712972285495191
"X30",-0.258816344225398
"X30",-1.2966473835673
"X30",-0.920867113199971
"X30",-0.759925146458646
"X30",-0.562464927002081
"X30",-0.566156287416645
"X30",-0.838923929902455
"X30",-0.455969631091089
"X30",-0.655183107410789
"X30",-0.777173842602359
"X30",-0.398667953886571
"X30",-0.716743731586662
"X30",-0.795060130912007
"X30",-0.313417602163483
"X30",-0.581684495070831
